  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
      6  -0.86220      0.0000000000    -21.668435      0.0000000000        0.0000000000
     16  -0.86120      0.0000000232    -21.641223      0.0000000009        0.0000000000
     26  -0.86020      0.0000186786    -21.614012      0.0000006864        0.0000000040
     36  -0.85920      0.0058062360    -21.586801      0.0002133752        0.0000013837
     46  -0.85820      0.7089408956    -21.559589      0.0260530879        0.0001941894
     56  -0.85720     34.8268933812    -21.532378      1.2798642594        0.0113119330
     66  -0.85620    709.2541146607    -21.505166     26.0645984775        0.2849021175
     76  -0.85520   6198.5046981103    -21.477955    227.7907632501        3.2677861212
     86  -0.85420  24138.5876284872    -21.450744    887.0764107591       18.2454402910
     96  -0.85320  43775.5074850539    -21.423532   1608.7196424522       54.2901137766
    106  -0.85220  40465.3945348583    -21.396321   1487.0752794821       98.3164487956
    116  -0.85120  26612.4072383132    -21.369109    977.9875715165      130.7491765979
    126  -0.85020  23367.3812071660    -21.341898    858.7351078333      154.6352215281
    136  -0.84920  27536.1120009995    -21.314687   1011.9330830807      179.9361126086
    146  -0.84820  35043.7364861426    -21.287475   1287.8330936409      211.4471381643
    156  -0.84720  40582.7004073515    -21.260264   1491.3861892144      250.0318409961
    166  -0.84620  39161.6805264039    -21.233052   1439.1646907983      290.3318361441
    176  -0.84520  36407.9112811371    -21.205841   1337.9655744396      327.6754514565
    186  -0.84420  39285.6810863602    -21.178630   1443.7216256675      365.2017637862
    196  -0.84320  43897.5093984810    -21.151418   1613.2031284430      407.2595863606
    206  -0.84220  41061.8518145370    -21.124207   1508.9946722391      450.4973008768
    216  -0.84120  30583.9450805016    -21.096995   1123.9388420907      485.9214908521
    226  -0.84020  28220.2463970066    -21.069784   1037.0745492604      513.8249915929
    236  -0.83920  40803.3807249123    -21.042573   1499.4960383505      548.3665269962
    246  -0.83820  43154.6248425517    -21.015361   1585.9026344943      592.5984145877
    256  -0.83720  22806.3274546920    -20.988150    838.1167702302      625.5481293034
    266  -0.83620   5529.3067131913    -20.960938    203.1981998539      637.7046605803
    276  -0.83520    594.3812876184    -20.933727     21.8431014837      639.8246452659
    286  -0.83420     27.4915738369    -20.906516      1.0102963363      639.9939239931
    296  -0.83320      0.5302073745    -20.879304      0.0194847545      639.9999089858
    306  -0.83220      0.0041382067    -20.852093      0.0001520762      639.9999994334
    316  -0.83120      0.0000127450    -20.824881      0.0000004684      639.9999999985
    326  -0.83020      0.0000000152    -20.797670      0.0000000006      639.9999999999
    336  -0.82920      0.0000000000    -20.770459      0.0000000000      639.9999999999
    346  -0.82820      0.0000000000    -20.743247      0.0000000000      639.9999999999
    356  -0.82720      0.0000000000    -20.716036      0.0000000000      639.9999999999
    366  -0.82620      0.0000000000    -20.688824      0.0000000000      639.9999999999
    376  -0.82520      0.0000000000    -20.661613      0.0000000000      639.9999999999
    386  -0.82420      0.0000000000    -20.634402      0.0000000000      639.9999999999
    396  -0.82320      0.0000000000    -20.607190      0.0000000000      639.9999999999
    406  -0.82220      0.0000000000    -20.579979      0.0000000000      639.9999999999
    416  -0.82120      0.0000000000    -20.552768      0.0000000000      639.9999999999
    426  -0.82020      0.0000000000    -20.525556      0.0000000000      639.9999999999
    436  -0.81920      0.0000000000    -20.498345      0.0000000000      639.9999999999
    446  -0.81820      0.0000000000    -20.471133      0.0000000000      639.9999999999
    456  -0.81720      0.0000000000    -20.443922      0.0000000000      639.9999999999
    466  -0.81620      0.0000000000    -20.416711      0.0000000000      639.9999999999
    476  -0.81520      0.0000000000    -20.389499      0.0000000000      639.9999999999
    486  -0.81420      0.0000000000    -20.362288      0.0000000000      639.9999999999
    496  -0.81320      0.0000000000    -20.335076      0.0000000000      639.9999999999
    506  -0.81220      0.0000000000    -20.307865      0.0000000000      639.9999999999
    516  -0.81120      0.0000000000    -20.280654      0.0000000000      639.9999999999
    526  -0.81020      0.0000000000    -20.253442      0.0000000000      639.9999999999
    536  -0.80920      0.0000000000    -20.226231      0.0000000000      639.9999999999
    546  -0.80820      0.0000000000    -20.199019      0.0000000000      639.9999999999
    556  -0.80720      0.0000000000    -20.171808      0.0000000000      639.9999999999
    566  -0.80620      0.0000000000    -20.144597      0.0000000000      639.9999999999
    576  -0.80520      0.0000000000    -20.117385      0.0000000000      639.9999999999
    586  -0.80420      0.0000000000    -20.090174      0.0000000000      639.9999999999
    596  -0.80320      0.0000000000    -20.062962      0.0000000000      639.9999999999
    606  -0.80220      0.0000000000    -20.035751      0.0000000000      639.9999999999
    616  -0.80120      0.0000000000    -20.008540      0.0000000000      639.9999999999
    626  -0.80020      0.0000000000    -19.981328      0.0000000000      639.9999999999
    636  -0.79920      0.0000000000    -19.954117      0.0000000000      639.9999999999
    646  -0.79820      0.0000000000    -19.926905      0.0000000000      639.9999999999
    656  -0.79720      0.0000000000    -19.899694      0.0000000000      639.9999999999
    666  -0.79620      0.0000000000    -19.872483      0.0000000000      639.9999999999
    676  -0.79520      0.0000000000    -19.845271      0.0000000000      639.9999999999
    686  -0.79420      0.0000000000    -19.818060      0.0000000000      639.9999999999
    696  -0.79320      0.0000000000    -19.790848      0.0000000000      639.9999999999
    706  -0.79220      0.0000000000    -19.763637      0.0000000000      639.9999999999
    716  -0.79120      0.0000000000    -19.736426      0.0000000000      639.9999999999
    726  -0.79020      0.0000000000    -19.709214      0.0000000000      639.9999999999
    736  -0.78920      0.0000000000    -19.682003      0.0000000000      639.9999999999
    746  -0.78820      0.0000000000    -19.654791      0.0000000000      639.9999999999
    756  -0.78720      0.0000000000    -19.627580      0.0000000000      639.9999999999
    766  -0.78620      0.0000000000    -19.600369      0.0000000000      639.9999999999
    776  -0.78520      0.0000000000    -19.573157      0.0000000000      639.9999999999
    786  -0.78420      0.0000000000    -19.545946      0.0000000000      639.9999999999
    796  -0.78320      0.0000000000    -19.518734      0.0000000000      639.9999999999
    806  -0.78220      0.0000000000    -19.491523      0.0000000000      639.9999999999
    816  -0.78120      0.0000000000    -19.464312      0.0000000000      639.9999999999
    826  -0.78020      0.0000000000    -19.437100      0.0000000000      639.9999999999
    836  -0.77920      0.0000000000    -19.409889      0.0000000000      639.9999999999
    846  -0.77820      0.0000000000    -19.382677      0.0000000000      639.9999999999
    856  -0.77720      0.0000000000    -19.355466      0.0000000000      639.9999999999
    866  -0.77620      0.0000000000    -19.328255      0.0000000000      639.9999999999
    876  -0.77520      0.0000000000    -19.301043      0.0000000000      639.9999999999
    886  -0.77420      0.0000000000    -19.273832      0.0000000000      639.9999999999
    896  -0.77320      0.0000000000    -19.246620      0.0000000000      639.9999999999
    906  -0.77220      0.0000000000    -19.219409      0.0000000000      639.9999999999
    916  -0.77120      0.0000000000    -19.192198      0.0000000000      639.9999999999
    926  -0.77020      0.0000000000    -19.164986      0.0000000000      639.9999999999
    936  -0.76920      0.0000000000    -19.137775      0.0000000000      639.9999999999
    946  -0.76820      0.0000000000    -19.110564      0.0000000000      639.9999999999
