 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.85376709     -0.85376708     -0.85376707     -0.85376706     -0.85376705
     -0.85376704     -0.85366600     -0.85366600     -0.85366599     -0.85337415
     -0.85337413     -0.85337412     -0.85327424     -0.85327423     -0.85327422
     -0.85327420     -0.85327420     -0.85327419     -0.85326135     -0.85326134
     -0.85326133     -0.85326132     -0.85326131     -0.85326131     -0.85316605
     -0.85316603     -0.85316602     -0.85315895     -0.85315893     -0.85315891
     -0.85306597     -0.85306596     -0.85306595     -0.85289199     -0.85289198
     -0.85289196     -0.85289194     -0.85289192     -0.85289191     -0.85282147
     -0.85282147     -0.85282146     -0.85266856     -0.85266854     -0.85266853
     -0.85265069     -0.85265068     -0.85265066     -0.85254728     -0.85254727
     -0.85254725     -0.85252151     -0.85252150     -0.85252149     -0.85236687
     -0.85236687     -0.85231883     -0.85231882     -0.85231879     -0.85214265
     -0.85214264     -0.85214263     -0.85188132     -0.85188132     -0.85141870
     -0.85115578     -0.85115577     -0.85115576     -0.85065011     -0.85055475
     -0.85055475     -0.85055474     -0.85054263     -0.85054263     -0.85054263
     -0.85031063     -0.85031062     -0.85031061     -0.84977140     -0.84977140
     -0.84977138     -0.84977137     -0.84977136     -0.84977135     -0.84952694
     -0.84952693     -0.84952692     -0.84927545     -0.84927545     -0.84927544
     -0.84898078     -0.84898078     -0.84865271     -0.84865270     -0.84865269
     -0.84865268     -0.84865268     -0.84865267     -0.84843408     -0.84843406
     -0.84843405     -0.84812494     -0.84812493     -0.84812492     -0.84804879
     -0.84804878     -0.84791688     -0.84791687     -0.84791686     -0.84773488
     -0.84773486     -0.84773485     -0.84757371     -0.84757369     -0.84757366
     -0.84745816     -0.84745815     -0.84745814     -0.84739263     -0.84739260
     -0.84739259     -0.84739258     -0.84739255     -0.84739254     -0.84733596
     -0.84733594     -0.84733593     -0.84726591     -0.84726591     -0.84726590
     -0.84686035     -0.84686034     -0.84686033     -0.84663043     -0.84663043
     -0.84663041     -0.84663040     -0.84663038     -0.84663038     -0.84659505
     -0.84659503     -0.84659502     -0.84610825     -0.84610825     -0.84610821
     -0.84610821     -0.84610821     -0.84610820     -0.84606184     -0.84606183
     -0.84606183     -0.84606182     -0.84606181     -0.84606181     -0.84600124
