  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
      6  -0.86540      0.0000000000    -21.516280      0.0000000000        0.0000000000
     16  -0.86440      0.0000000093    -21.489069      0.0000000003        0.0000000000
     26  -0.86340      0.0000073826    -21.461857      0.0000002713        0.0000000016
     36  -0.86240      0.0022496502    -21.434646      0.0000826731        0.0000005377
     46  -0.86140      0.2680574296    -21.407434      0.0098509253        0.0000737424
     56  -0.86040     12.8112390559    -21.380223      0.4708041802        0.0041857428
     66  -0.85940    255.2066939681    -21.353012      9.3786696045        0.1030597776
     76  -0.85840   2249.6305487624    -21.325800     82.6723677228        1.1789163114
     86  -0.85740   9605.4623919726    -21.298589    352.9941036110        6.9013755696
     96  -0.85640  22233.1224756906    -21.271377    817.0518834511       23.2882083236
    106  -0.85540  31106.3243071450    -21.244166   1143.1359176014       51.1443077312
    116  -0.85440  31049.1120260865    -21.216955   1141.0334058176       82.7515784875
    126  -0.85340  28953.5493960730    -21.189743   1064.0229276171      112.5480649592
    136  -0.85240  28311.6713522846    -21.162532   1040.4343531739      141.0193013849
    146  -0.85140  29841.7083739945    -21.135320   1096.6621561604      169.9648788487
    156  -0.85040  32728.1043292823    -21.108109   1202.7352124408      201.3974638233
    166  -0.84940  35045.7750848282    -21.080898   1287.9080107335      235.4528844377
    176  -0.84840  36792.1678627550    -21.053686   1352.0867382159      271.5198328269
    186  -0.84740  37711.3052830436    -21.026475   1385.8644031039      308.8658705793
    196  -0.84640  38753.7820468965    -20.999263   1424.1747036157      347.0994324070
    206  -0.84540  39834.3819774154    -20.972052   1463.8860041518      386.5192534052
    216  -0.84440  38875.6765477135    -20.944841   1428.6542422673      426.0755887031
    226  -0.84340  35629.9200659857    -20.917629   1309.3749350301      463.2197373810
    236  -0.84240  34243.2803566050    -20.890418   1258.4168841555      497.7774702956
    246  -0.84140  35519.7197528411    -20.863206   1305.3251496925      532.6734918710
    256  -0.84040  34218.9451064992    -20.835995   1257.5225805347      567.9403388972
    266  -0.83940  26256.6416576841    -20.808784    964.9134323335      598.3174749617
    276  -0.83840  14577.2371045061    -20.781572    535.7033878067      618.1966073673
    286  -0.83740   5155.8861262071    -20.754361    189.4752513905      627.2075409117
    296  -0.83640    955.9932154349    -20.727149     35.1320898849      629.6449645515
    306  -0.83540     79.5474063123    -20.699938      2.9233121988      629.9787970957
    316  -0.83440      2.7297364147    -20.672727      0.1003159264      629.9994539846
    326  -0.83340      0.0370255904    -20.645515      0.0013606649      629.9999942381
    336  -0.83240      0.0001940226    -20.618304      0.0000071302      629.9999999758
    346  -0.83140      0.0000003875    -20.591092      0.0000000142      629.9999999999
    356  -0.83040      0.0000000003    -20.563881      0.0000000000      629.9999999999
    366  -0.82940      0.0000000000    -20.536670      0.0000000000      629.9999999999
    376  -0.82840      0.0000000000    -20.509458      0.0000000000      629.9999999999
    386  -0.82740      0.0000000000    -20.482247      0.0000000000      629.9999999999
    396  -0.82640      0.0000000000    -20.455035      0.0000000000      629.9999999999
    406  -0.82540      0.0000000000    -20.427824      0.0000000000      629.9999999999
    416  -0.82440      0.0000000000    -20.400613      0.0000000000      629.9999999999
    426  -0.82340      0.0000000000    -20.373401      0.0000000000      629.9999999999
    436  -0.82240      0.0000000000    -20.346190      0.0000000000      629.9999999999
    446  -0.82140      0.0000000000    -20.318978      0.0000000000      629.9999999999
    456  -0.82040      0.0000000000    -20.291767      0.0000000000      629.9999999999
    466  -0.81940      0.0000000000    -20.264556      0.0000000000      629.9999999999
    476  -0.81840      0.0000000000    -20.237344      0.0000000000      629.9999999999
    486  -0.81740      0.0000000000    -20.210133      0.0000000000      629.9999999999
    496  -0.81640      0.0000000000    -20.182922      0.0000000000      629.9999999999
    506  -0.81540      0.0000000000    -20.155710      0.0000000000      629.9999999999
    516  -0.81440      0.0000000000    -20.128499      0.0000000000      629.9999999999
    526  -0.81340      0.0000000000    -20.101287      0.0000000000      629.9999999999
    536  -0.81240      0.0000000000    -20.074076      0.0000000000      629.9999999999
    546  -0.81140      0.0000000000    -20.046865      0.0000000000      629.9999999999
    556  -0.81040      0.0000000000    -20.019653      0.0000000000      629.9999999999
    566  -0.80940      0.0000000000    -19.992442      0.0000000000      629.9999999999
    576  -0.80840      0.0000000000    -19.965230      0.0000000000      629.9999999999
    586  -0.80740      0.0000000000    -19.938019      0.0000000000      629.9999999999
    596  -0.80640      0.0000000000    -19.910808      0.0000000000      629.9999999999
    606  -0.80540      0.0000000000    -19.883596      0.0000000000      629.9999999999
    616  -0.80440      0.0000000000    -19.856385      0.0000000000      629.9999999999
    626  -0.80340      0.0000000000    -19.829173      0.0000000000      629.9999999999
    636  -0.80240      0.0000000000    -19.801962      0.0000000000      629.9999999999
    646  -0.80140      0.0000000000    -19.774751      0.0000000000      629.9999999999
    656  -0.80040      0.0000000000    -19.747539      0.0000000000      629.9999999999
    666  -0.79940      0.0000000000    -19.720328      0.0000000000      629.9999999999
    676  -0.79840      0.0000000000    -19.693116      0.0000000000      629.9999999999
    686  -0.79740      0.0000000000    -19.665905      0.0000000000      629.9999999999
    696  -0.79640      0.0000000000    -19.638694      0.0000000000      629.9999999999
    706  -0.79540      0.0000000000    -19.611482      0.0000000000      629.9999999999
    716  -0.79440      0.0000000000    -19.584271      0.0000000000      629.9999999999
    726  -0.79340      0.0000000000    -19.557059      0.0000000000      629.9999999999
    736  -0.79240      0.0000000000    -19.529848      0.0000000000      629.9999999999
    746  -0.79140      0.0000000000    -19.502637      0.0000000000      629.9999999999
    756  -0.79040      0.0000000000    -19.475425      0.0000000000      629.9999999999
    766  -0.78940      0.0000000000    -19.448214      0.0000000000      629.9999999999
    776  -0.78840      0.0000000000    -19.421002      0.0000000000      629.9999999999
    786  -0.78740      0.0000000000    -19.393791      0.0000000000      629.9999999999
    796  -0.78640      0.0000000000    -19.366580      0.0000000000      629.9999999999
    806  -0.78540      0.0000000000    -19.339368      0.0000000000      629.9999999999
    816  -0.78440      0.0000000000    -19.312157      0.0000000000      629.9999999999
    826  -0.78340      0.0000000000    -19.284945      0.0000000000      629.9999999999
    836  -0.78240      0.0000000000    -19.257734      0.0000000000      629.9999999999
    846  -0.78140      0.0000000000    -19.230523      0.0000000000      629.9999999999
    856  -0.78040      0.0000000000    -19.203311      0.0000000000      629.9999999999
    866  -0.77940      0.0000000000    -19.176100      0.0000000000      629.9999999999
    876  -0.77840      0.0000000000    -19.148888      0.0000000000      629.9999999999
    886  -0.77740      0.0000000000    -19.121677      0.0000000000      629.9999999999
    896  -0.77640      0.0000000000    -19.094466      0.0000000000      629.9999999999
    906  -0.77540      0.0000000000    -19.067254      0.0000000000      629.9999999999
    916  -0.77440      0.0000000000    -19.040043      0.0000000000      629.9999999999
    926  -0.77340      0.0000000000    -19.012831      0.0000000000      629.9999999999
    936  -0.77240      0.0000000000    -18.985620      0.0000000000      629.9999999999
    946  -0.77140      0.0000000000    -18.958409      0.0000000000      629.9999999999
    956  -0.77040      0.0000000000    -18.931197      0.0000000000      629.9999999999
    966  -0.76940      0.0000000000    -18.903986      0.0000000000      629.9999999999
    976  -0.76840      0.0000000000    -18.876774      0.0000000000      629.9999999999
    986  -0.76740      0.0000000000    -18.849563      0.0000000000      629.9999999999
    996  -0.76640      0.0000000000    -18.822352      0.0000000000      629.9999999999
   1006  -0.76540      0.0000000000    -18.795140      0.0000000000      629.9999999999
   1016  -0.76440      0.0000000000    -18.767929      0.0000000000      629.9999999999
   1026  -0.76340      0.0000000000    -18.740718      0.0000000000      629.9999999999
   1036  -0.76240      0.0000000000    -18.713506      0.0000000000      629.9999999999
   1046  -0.76140      0.0000000000    -18.686295      0.0000000000      629.9999999999
   1056  -0.76040      0.0000000000    -18.659083      0.0000000000      629.9999999999
   1066  -0.75940      0.0000000000    -18.631872      0.0000000000      629.9999999999
   1076  -0.75840      0.0000000000    -18.604661      0.0000000000      629.9999999999
   1086  -0.75740      0.0000000000    -18.577449      0.0000000000      629.9999999999
   1096  -0.75640      0.0000000000    -18.550238      0.0000000000      629.9999999999
   1106  -0.75540      0.0000000000    -18.523026      0.0000000000      629.9999999999
   1116  -0.75440      0.0000000000    -18.495815      0.0000000000      629.9999999999
   1126  -0.75340      0.0000000000    -18.468604      0.0000000000      629.9999999999
   1136  -0.75240      0.0000000000    -18.441392      0.0000000000      629.9999999999
   1146  -0.75140      0.0000000000    -18.414181      0.0000000000      629.9999999999
   1156  -0.75040      0.0000000000    -18.386969      0.0000000000      629.9999999999
   1166  -0.74940      0.0000000000    -18.359758      0.0000000000      629.9999999999
   1176  -0.74840      0.0000000000    -18.332547      0.0000000000      629.9999999999
   1186  -0.74740      0.0000000000    -18.305335      0.0000000000      629.9999999999
   1196  -0.74640      0.0000000000    -18.278124      0.0000000000      629.9999999999
   1206  -0.74540      0.0000000000    -18.250912      0.0000000000      629.9999999999
   1216  -0.74440      0.0000000000    -18.223701      0.0000000000      629.9999999999
   1226  -0.74340      0.0000000000    -18.196490      0.0000000000      629.9999999999
   1236  -0.74240      0.0000000000    -18.169278      0.0000000000      629.9999999999
   1246  -0.74140      0.0000000000    -18.142067      0.0000000000      629.9999999999
   1256  -0.74040      0.0000000000    -18.114855      0.0000000000      629.9999999999
   1266  -0.73940      0.0000000000    -18.087644      0.0000000000      629.9999999999
   1276  -0.73840      0.0000000000    -18.060433      0.0000000000      629.9999999999
   1286  -0.73740      0.0000000000    -18.033221      0.0000000000      629.9999999999
   1296  -0.73640      0.0000000000    -18.006010      0.0000000000      629.9999999999
   1306  -0.73540      0.0000000000    -17.978798      0.0000000000      629.9999999999
   1316  -0.73440      0.0000000000    -17.951587      0.0000000000      629.9999999999
   1326  -0.73340      0.0000000000    -17.924376      0.0000000000      629.9999999999
   1336  -0.73240      0.0000000000    -17.897164      0.0000000000      629.9999999999
   1346  -0.73140      0.0000000000    -17.869953      0.0000000000      629.9999999999
   1356  -0.73040      0.0000000000    -17.842741      0.0000000000      629.9999999999
   1366  -0.72940      0.0000000000    -17.815530      0.0000000000      629.9999999999
   1376  -0.72840      0.0000000000    -17.788319      0.0000000000      629.9999999999
   1386  -0.72740      0.0000000000    -17.761107      0.0000000000      629.9999999999
   1396  -0.72640      0.0000000000    -17.733896      0.0000000000      629.9999999999
   1406  -0.72540      0.0000000000    -17.706684      0.0000000000      629.9999999999
