  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
      6  -0.86300      0.0000000000    -21.769117      0.0000000000        0.0000000000
     16  -0.86200      0.0000000165    -21.741906      0.0000000006        0.0000000000
     26  -0.86100      0.0000129233    -21.714694      0.0000004749        0.0000000028
     36  -0.86000      0.0038471091    -21.687483      0.0001413786        0.0000009230
     46  -0.85900      0.4398438564    -21.660271      0.0161639577        0.0001219743
     56  -0.85800     19.7372250535    -21.633060      0.7253293783        0.0065451189
     66  -0.85700    362.0153567322    -21.605849     13.3038141350        0.1497736004
     76  -0.85600   2930.6215991351    -21.578637    107.6983181231        1.5851885375
     86  -0.85500  11907.8035384947    -21.551426    437.6035493679        8.7678184103
     96  -0.85400  28069.8586816652    -21.524214   1031.5479046695       29.2065883016
    106  -0.85300  40841.9786109032    -21.497003   1500.9144839819       65.3028947331
    116  -0.85200  37209.1635138121    -21.469792   1367.4110401650      105.4851104883
    126  -0.85100  28374.5633344366    -21.442580   1042.7455900471      137.2959821330
    136  -0.85000  28662.6048057567    -21.415369   1053.3309150239      165.2671341037
    146  -0.84900  29153.6382153909    -21.388157   1071.3760534257      194.5348407170
    156  -0.84800  29457.3934957709    -21.360946   1082.5388500241      223.4424879432
    166  -0.84700  36562.7835994998    -21.333735   1343.6570250917      256.3240809704
    176  -0.84600  43213.3360677020    -21.306523   1588.0602314373      297.1313966044
    186  -0.84500  40369.5837899184    -21.279312   1483.5543008299      339.5249441458
    196  -0.84400  34967.7862168240    -21.252100   1285.0419737403      376.5641850139
    206  -0.84300  36644.1548666332    -21.224889   1346.6473629150      411.8709303317
    216  -0.84200  39079.3506755890    -21.197678   1436.1391256872      450.3891494373
    226  -0.84100  32828.1983588723    -21.170466   1206.4135988433      486.5786096025
    236  -0.84000  29638.9029278338    -21.143255   1089.2091961931      516.6725555035
    246  -0.83900  36536.6402112508    -21.116043   1342.6962736438      549.7860094001
    256  -0.83800  36285.4787348883    -21.088832   1333.4662629903      587.5607230289
    266  -0.83700  20502.3188743880    -21.061621    753.4460474344      615.9682472844
    276  -0.83600   5647.9776755611    -21.034409    207.5592756956      627.5004576434
    286  -0.83500    696.3967904432    -21.007198     25.5921006994      629.7845825498
    296  -0.83400     36.4786249034    -20.979986      1.3405642512      629.9916555430
    306  -0.83300      0.7837480476    -20.952775      0.0288021990      629.9998619167
    316  -0.83200      0.0067337865    -20.925564      0.0002474620      629.9999990584
    326  -0.83100      0.0000227030    -20.898352      0.0000008343      629.9999999974
    336  -0.83000      0.0000000296    -20.871141      0.0000000011      629.9999999999
    346  -0.82900      0.0000000000    -20.843929      0.0000000000      629.9999999999
    356  -0.82800      0.0000000000    -20.816718      0.0000000000      629.9999999999
    366  -0.82700      0.0000000000    -20.789507      0.0000000000      629.9999999999
    376  -0.82600      0.0000000000    -20.762295      0.0000000000      629.9999999999
    386  -0.82500      0.0000000000    -20.735084      0.0000000000      629.9999999999
    396  -0.82400      0.0000000000    -20.707872      0.0000000000      629.9999999999
    406  -0.82300      0.0000000000    -20.680661      0.0000000000      629.9999999999
    416  -0.82200      0.0000000000    -20.653450      0.0000000000      629.9999999999
    426  -0.82100      0.0000000000    -20.626238      0.0000000000      629.9999999999
    436  -0.82000      0.0000000000    -20.599027      0.0000000000      629.9999999999
    446  -0.81900      0.0000000000    -20.571815      0.0000000000      629.9999999999
    456  -0.81800      0.0000000000    -20.544604      0.0000000000      629.9999999999
    466  -0.81700      0.0000000000    -20.517393      0.0000000000      629.9999999999
    476  -0.81600      0.0000000000    -20.490181      0.0000000000      629.9999999999
    486  -0.81500      0.0000000000    -20.462970      0.0000000000      629.9999999999
    496  -0.81400      0.0000000000    -20.435759      0.0000000000      629.9999999999
    506  -0.81300      0.0000000000    -20.408547      0.0000000000      629.9999999999
    516  -0.81200      0.0000000000    -20.381336      0.0000000000      629.9999999999
    526  -0.81100      0.0000000000    -20.354124      0.0000000000      629.9999999999
    536  -0.81000      0.0000000000    -20.326913      0.0000000000      629.9999999999
    546  -0.80900      0.0000000000    -20.299702      0.0000000000      629.9999999999
    556  -0.80800      0.0000000000    -20.272490      0.0000000000      629.9999999999
    566  -0.80700      0.0000000000    -20.245279      0.0000000000      629.9999999999
    576  -0.80600      0.0000000000    -20.218067      0.0000000000      629.9999999999
    586  -0.80500      0.0000000000    -20.190856      0.0000000000      629.9999999999
    596  -0.80400      0.0000000000    -20.163645      0.0000000000      629.9999999999
    606  -0.80300      0.0000000000    -20.136433      0.0000000000      629.9999999999
    616  -0.80200      0.0000000000    -20.109222      0.0000000000      629.9999999999
    626  -0.80100      0.0000000000    -20.082010      0.0000000000      629.9999999999
    636  -0.80000      0.0000000000    -20.054799      0.0000000000      629.9999999999
    646  -0.79900      0.0000000000    -20.027588      0.0000000000      629.9999999999
    656  -0.79800      0.0000000000    -20.000376      0.0000000000      629.9999999999
    666  -0.79700      0.0000000000    -19.973165      0.0000000000      629.9999999999
    676  -0.79600      0.0000000000    -19.945953      0.0000000000      629.9999999999
    686  -0.79500      0.0000000000    -19.918742      0.0000000000      629.9999999999
    696  -0.79400      0.0000000000    -19.891531      0.0000000000      629.9999999999
    706  -0.79300      0.0000000000    -19.864319      0.0000000000      629.9999999999
    716  -0.79200      0.0000000000    -19.837108      0.0000000000      629.9999999999
    726  -0.79100      0.0000000000    -19.809896      0.0000000000      629.9999999999
    736  -0.79000      0.0000000000    -19.782685      0.0000000000      629.9999999999
    746  -0.78900      0.0000000000    -19.755474      0.0000000000      629.9999999999
    756  -0.78800      0.0000000000    -19.728262      0.0000000000      629.9999999999
    766  -0.78700      0.0000000000    -19.701051      0.0000000000      629.9999999999
    776  -0.78600      0.0000000000    -19.673839      0.0000000000      629.9999999999
    786  -0.78500      0.0000000000    -19.646628      0.0000000000      629.9999999999
    796  -0.78400      0.0000000000    -19.619417      0.0000000000      629.9999999999
    806  -0.78300      0.0000000000    -19.592205      0.0000000000      629.9999999999
    816  -0.78200      0.0000000000    -19.564994      0.0000000000      629.9999999999
    826  -0.78100      0.0000000000    -19.537782      0.0000000000      629.9999999999
    836  -0.78000      0.0000000000    -19.510571      0.0000000000      629.9999999999
    846  -0.77900      0.0000000000    -19.483360      0.0000000000      629.9999999999
    856  -0.77800      0.0000000000    -19.456148      0.0000000000      629.9999999999
    866  -0.77700      0.0000000000    -19.428937      0.0000000000      629.9999999999
    876  -0.77600      0.0000000000    -19.401725      0.0000000000      629.9999999999
    886  -0.77500      0.0000000000    -19.374514      0.0000000000      629.9999999999
    896  -0.77400      0.0000000000    -19.347303      0.0000000000      629.9999999999
    906  -0.77300      0.0000000000    -19.320091      0.0000000000      629.9999999999
    916  -0.77200      0.0000000000    -19.292880      0.0000000000      629.9999999999
    926  -0.77100      0.0000000000    -19.265668      0.0000000000      629.9999999999
    936  -0.77000      0.0000000000    -19.238457      0.0000000000      629.9999999999
    946  -0.76900      0.0000000000    -19.211246      0.0000000000      629.9999999999
    956  -0.76800      0.0000000000    -19.184034      0.0000000000      629.9999999999
    966  -0.76700      0.0000000000    -19.156823      0.0000000000      629.9999999999
    976  -0.76600      0.0000000000    -19.129611      0.0000000000      629.9999999999
    986  -0.76500      0.0000000000    -19.102400      0.0000000000      629.9999999999
    996  -0.76400      0.0000000000    -19.075189      0.0000000000      629.9999999999
   1006  -0.76300      0.0000000000    -19.047977      0.0000000000      629.9999999999
   1016  -0.76200      0.0000000000    -19.020766      0.0000000000      629.9999999999
   1026  -0.76100      0.0000000000    -18.993555      0.0000000000      629.9999999999
   1036  -0.76000      0.0000000000    -18.966343      0.0000000000      629.9999999999
   1046  -0.75900      0.0000000000    -18.939132      0.0000000000      629.9999999999
   1056  -0.75800      0.0000000000    -18.911920      0.0000000000      629.9999999999
   1066  -0.75700      0.0000000000    -18.884709      0.0000000000      629.9999999999
   1076  -0.75600      0.0000000000    -18.857498      0.0000000000      629.9999999999
   1086  -0.75500      0.0000000000    -18.830286      0.0000000000      629.9999999999
   1096  -0.75400      0.0000000000    -18.803075      0.0000000000      629.9999999999
   1106  -0.75300      0.0000000000    -18.775863      0.0000000000      629.9999999999
   1116  -0.75200      0.0000000000    -18.748652      0.0000000000      629.9999999999
   1126  -0.75100      0.0000000000    -18.721441      0.0000000000      629.9999999999
   1136  -0.75000      0.0000000000    -18.694229      0.0000000000      629.9999999999
   1146  -0.74900      0.0000000000    -18.667018      0.0000000000      629.9999999999
   1156  -0.74800      0.0000000000    -18.639806      0.0000000000      629.9999999999
   1166  -0.74700      0.0000000000    -18.612595      0.0000000000      629.9999999999
   1176  -0.74600      0.0000000000    -18.585384      0.0000000000      629.9999999999
   1186  -0.74500      0.0000000000    -18.558172      0.0000000000      629.9999999999
   1196  -0.74400      0.0000000000    -18.530961      0.0000000000      629.9999999999
   1206  -0.74300      0.0000000000    -18.503749      0.0000000000      629.9999999999
   1216  -0.74200      0.0000000000    -18.476538      0.0000000000      629.9999999999
   1226  -0.74100      0.0000000000    -18.449327      0.0000000000      629.9999999999
   1236  -0.74000      0.0000000000    -18.422115      0.0000000000      629.9999999999
   1246  -0.73900      0.0000000000    -18.394904      0.0000000000      629.9999999999
