 --- primitive lattice vectors ---
  25.2786732532   0.0000000000   0.0000000000
   0.0000000000  25.2786732532   0.0000000000
   0.0000000000   0.0000000000  25.2786732532
 --- Equilibrium position and mass of each atom---
 Natom=   63
     1   1.5799170780   1.5799170780   1.5799170780    51196.42125 Sn  
     2  11.0594195490  11.0594195490  11.0594195490    51196.42125 Sn  
     3   1.5799170780   7.8995853920   7.8995853920    51196.42125 Sn  
     4  11.0594195490   4.7397512350   4.7397512350    51196.42125 Sn  
     5   7.8995853920   1.5799170780   7.8995853920    51196.42125 Sn  
     6   4.7397512350  11.0594195490   4.7397512350    51196.42125 Sn  
     7   7.8995853920   7.8995853920   1.5799170780    51196.42125 Sn  
     8   4.7397512350   4.7397512350  11.0594195490    51196.42125 Sn  
     9   1.5799170780   1.5799170780  14.2192537050    51196.42125 Sn  
    10  11.0594195490  11.0594195490  23.6987561750    51196.42125 Sn  
    11   1.5799170780   7.8995853920  20.5389220190    51196.42125 Sn  
    12  11.0594195490   4.7397512350  17.3790878610    51196.42125 Sn  
    13   7.8995853920   1.5799170780  20.5389220190    51196.42125 Sn  
    14   4.7397512350  11.0594195490  17.3790878610    51196.42125 Sn  
    15   7.8995853920   7.8995853920  14.2192537050    51196.42125 Sn  
    16   4.7397512350   4.7397512350  23.6987561750    51196.42125 Sn  
    17   1.5799170780  14.2192537050   1.5799170780    51196.42125 Sn  
    18  11.0594195490  23.6987561750  11.0594195490    51196.42125 Sn  
    19   1.5799170780  20.5389220190   7.8995853920    51196.42125 Sn  
    20  11.0594195490  17.3790878610   4.7397512350    51196.42125 Sn  
    21   7.8995853920  14.2192537050   7.8995853920    51196.42125 Sn  
    22   4.7397512350  23.6987561750   4.7397512350    51196.42125 Sn  
    23   7.8995853920  20.5389220190   1.5799170780    51196.42125 Sn  
    24   4.7397512350  17.3790878610  11.0594195490    51196.42125 Sn  
    25   1.5799170780  14.2192537050  14.2192537050    51196.42125 Sn  
    26  11.0594195490  23.6987561750  23.6987561750    51196.42125 Sn  
    27   1.5799170780  20.5389220190  20.5389220190    51196.42125 Sn  
    28  11.0594195490  17.3790878610  17.3790878610    51196.42125 Sn  
    29   7.8995853920  14.2192537050  20.5389220190    51196.42125 Sn  
    30   4.7397512350  23.6987561750  17.3790878610    51196.42125 Sn  
    31   7.8995853920  20.5389220190  14.2192537050    51196.42125 Sn  
    32   4.7397512350  17.3790878610  23.6987561750    51196.42125 Sn  
    33  14.2192537050   1.5799170780   1.5799170780    51196.42125 Sn  
    34  23.6987561750  11.0594195490  11.0594195490    51196.42125 Sn  
    35  14.2192537050   7.8995853920   7.8995853920    51196.42125 Sn  
    36  23.6987561750   4.7397512350   4.7397512350    51196.42125 Sn  
    37  20.5389220190   1.5799170780   7.8995853920    51196.42125 Sn  
    38  17.3790878610  11.0594195490   4.7397512350    51196.42125 Sn  
    39  20.5389220190   7.8995853920   1.5799170780    51196.42125 Sn  
    40  17.3790878610   4.7397512350  11.0594195490    51196.42125 Sn  
    41  14.2192537050   1.5799170780  14.2192537050    51196.42125 Sn  
    42  23.6987561750  11.0594195490  23.6987561750    51196.42125 Sn  
    43  14.2192537050   7.8995853920  20.5389220190    51196.42125 Sn  
    44  23.6987561750   4.7397512350  17.3790878610    51196.42125 Sn  
    45  20.5389220190   1.5799170780  20.5389220190    51196.42125 Sn  
    46  17.3790878610  11.0594195490  17.3790878610    51196.42125 Sn  
    47  20.5389220190   7.8995853920  14.2192537050    51196.42125 Sn  
    48  17.3790878610   4.7397512350  23.6987561750    51196.42125 Sn  
    49  14.2192537050  14.2192537050   1.5799170780    51196.42125 Sn  
    50  23.6987561750  23.6987561750  11.0594195490    51196.42125 Sn  
    51  14.2192537050  20.5389220190   7.8995853920    51196.42125 Sn  
    52  23.6987561750  17.3790878610   4.7397512350    51196.42125 Sn  
    53  20.5389220190  14.2192537050   7.8995853920    51196.42125 Sn  
    54  17.3790878610  23.6987561750   4.7397512350    51196.42125 Sn  
    55  20.5389220190  20.5389220190   1.5799170780    51196.42125 Sn  
    56  17.3790878610  17.3790878610  11.0594195490    51196.42125 Sn  
    57  23.6987561750  23.6987561750  23.6987561750    51196.42125 Sn  
    58  14.2192537050  20.5389220190  20.5389220190    51196.42125 Sn  
    59  23.6987561750  17.3790878610  17.3790878610    51196.42125 Sn  
    60  20.5389220190  14.2192537050  20.5389220190    51196.42125 Sn  
    61  17.3790878610  23.6987561750  17.3790878610    51196.42125 Sn  
    62  20.5389220190  20.5389220190  14.2192537050    51196.42125 Sn  
    63  17.3790878610  17.3790878610  23.6987561750    51196.42125 Sn  
 --- Vibrational modes ---
 Nmode=  189 Natom=   63
 n=     1 A   IR&R
     hbarW= -0.48468490E-03 Ha = -0.13188947E-01 eV; nu= -0.10637604E+03 cm^-1
     1   0.0008786920 -0.0080938923  0.0090492091
     2  -0.0373469979 -0.0783662906  0.0002425000
     3  -0.0011671394 -0.0075684845  0.0101306490
     4  -0.0043495086 -0.0452498450  0.0381700036
     5  -0.0101777879 -0.0130273026 -0.0016274011
     6  -0.0132728011 -0.0108493323  0.0266005929
     7   0.0124650683  0.0031750806  0.0097957326
     8   0.0088020297 -0.0346164313  0.0016066842
     9  -0.0003526718  0.0033876445  0.0159582494
    10   0.0250983424 -0.0485158561 -0.0148190092
    11  -0.0210718561 -0.0056514691  0.0067702823
    12   0.0292377609  0.0114551416  0.0523973009
    13   0.0114898255 -0.0109622789 -0.0012744232
    14  -0.0185948271 -0.0060319259  0.0143300660
    15  -0.0267799644 -0.0451952899  0.0545842663
    16  -0.0013268268 -0.0173646662  0.0191695993
    17  -0.0003629226 -0.0142056162 -0.0037703390
    18  -0.0211356803  0.0097826732  0.0463337333
    19   0.0212779384 -0.0038126244  0.0048299849
    20  -0.0167098733 -0.0423816891 -0.0132141728
    21   0.0150751857 -0.0313717626  0.0318653084
    22   0.0047522605 -0.0177126058  0.0194722829
    23  -0.0109629940  0.0035711119  0.0119308939
    24   0.0144626392 -0.0074869959  0.0156043329
    25  -0.0025543125  0.0037209072 -0.0041967539
    26   0.0009914000 -0.0408737540  0.0424777935
    27   0.0012359789 -0.0095474677  0.0082635790
    28   0.0068769331 -0.0399553110  0.0387327903
    29  -0.0173701664 -0.0398626115  0.0380141188
    30  -0.0070805248 -0.0281084872  0.0062507378
    31   0.0242886499 -0.0392851056  0.0461250763
    32   0.0151711493 -0.0062069634  0.0332505861
    33   0.0015211449  0.0033765760 -0.0037817631
    34  -0.0030529313 -0.0705474774  0.0704956396
    35   0.0134807381 -0.0252380412  0.0101326948
    36   0.0015741177 -0.0144437021  0.0162725494
    37  -0.0061947911  0.0093471149  0.0165945204
    38  -0.0310376308 -0.0281264269 -0.0303439508
    39   0.0090594599 -0.0164416276 -0.0100817893
    40   0.0420453889  0.0272792279  0.0397512911
    41  -0.0004845245  0.0240047161 -0.0041966743
    42  -0.0539443289  0.0423585575 -0.0140473236
    43   0.0917506308  0.0476478644 -0.0457118971
    44  -0.0526063951  0.0176235008 -0.0415663596
    45   0.0077098205  0.0115649942  0.0162020844
    46  -0.3953690341  0.3619754890 -0.3573776500
    47  -0.0827371473  0.0678401506  0.1330775914
    48  -0.0474879320  0.0281557909 -0.0232615578
    49  -0.0003366640  0.0036551209 -0.0269658915
    50   0.0545434617  0.0110085526 -0.0369674134
    51  -0.0745561868  0.0375232106 -0.0353919458
    52   0.0557690339  0.0376522664 -0.0073628064
    53   0.0778800212 -0.1195724792 -0.0572460992
    54   0.0441605987  0.0238482164 -0.0188719803
    55  -0.0076555048 -0.0168544446 -0.0080331379
    56   0.3646667301  0.3234004274 -0.3187173369
    57   0.0017418923 -0.0140273517  0.0165246752
    58   0.0037453523 -0.0149530698  0.0203150782
    59  -0.0011327228 -0.0691869933  0.0717212790
    60  -0.0803667225 -0.1279693626 -0.0634281476
    61  -0.0336874395  0.0290769643  0.0336312064
    62   0.0804227695  0.0619241488  0.1245207083
    63   0.0392447109 -0.0342258384 -0.0288058411
 n=     2 A   IR&R
     hbarW= -0.48447307E-03 Ha = -0.13183183E-01 eV; nu= -0.10632955E+03 cm^-1
     1   0.0070925731  0.0076995647  0.0062322629
     2  -0.4322876872 -0.4298317803 -0.4370132844
     3  -0.0163561139  0.0129918201  0.0114039175
     4  -0.0509610446 -0.0333580504 -0.0407818869
     5   0.0129864188 -0.0155604862  0.0120689519
     6  -0.0351454593 -0.0504536657 -0.0401221017
     7   0.0110058247  0.0116078074 -0.0175887164
     8  -0.0370959303 -0.0345850322 -0.0515446065
     9  -0.0030018924 -0.0031602939  0.0109139142
    10   0.0025276367  0.0065731300 -0.0290681621
    11   0.0026037471 -0.0003366204  0.0147526107
    12   0.0615547763 -0.0175829197  0.0481688741
    13  -0.0011694522  0.0020315454  0.0151676334
    14  -0.0158075441  0.0633243981  0.0502468427
    15  -0.0728471470 -0.0719643809  0.1330422008
    16   0.0144952321  0.0152590611  0.0095434864
    17  -0.0029811483  0.0136379861 -0.0025598975
    18   0.0066783544 -0.0312858254 -0.0019396246
    19  -0.0012492634  0.0156582687 -0.0012784205
    20   0.0656665511  0.0566494228 -0.0153910679
    21  -0.0766429109  0.1407514678 -0.0789889188
    22   0.0139061283  0.0128098995  0.0120099040
