 --- primitive lattice vectors ---
  25.2786732532   0.0000000000   0.0000000000
   0.0000000000  25.2786732532   0.0000000000
   0.0000000000   0.0000000000  25.2786732532
 --- Equilibrium position and mass of each atom---
 Natom=   64
     1   1.5799170780   1.5799170780   1.5799170780    51196.42125 Sn  
     2  11.0594195490  11.0594195490  11.0594195490    51196.42125 Sn  
     3   1.5799170780   7.8995853920   7.8995853920    51196.42125 Sn  
     4  11.0594195490   4.7397512350   4.7397512350    51196.42125 Sn  
     5   7.8995853920   1.5799170780   7.8995853920    51196.42125 Sn  
     6   4.7397512350  11.0594195490   4.7397512350    51196.42125 Sn  
     7   7.8995853920   7.8995853920   1.5799170780    51196.42125 Sn  
     8   4.7397512350   4.7397512350  11.0594195490    51196.42125 Sn  
     9   1.5799170780   1.5799170780  14.2192537050    51196.42125 Sn  
    10  11.0594195490  11.0594195490  23.6987561750    51196.42125 Sn  
    11   1.5799170780   7.8995853920  20.5389220190    51196.42125 Sn  
    12  11.0594195490   4.7397512350  17.3790878610    51196.42125 Sn  
    13   7.8995853920   1.5799170780  20.5389220190    51196.42125 Sn  
    14   4.7397512350  11.0594195490  17.3790878610    51196.42125 Sn  
    15   7.8995853920   7.8995853920  14.2192537050    51196.42125 Sn  
    16   4.7397512350   4.7397512350  23.6987561750    51196.42125 Sn  
    17   1.5799170780  14.2192537050   1.5799170780    51196.42125 Sn  
    18  11.0594195490  23.6987561750  11.0594195490    51196.42125 Sn  
    19   1.5799170780  20.5389220190   7.8995853920    51196.42125 Sn  
    20  11.0594195490  17.3790878610   4.7397512350    51196.42125 Sn  
    21   7.8995853920  14.2192537050   7.8995853920    51196.42125 Sn  
    22   4.7397512350  23.6987561750   4.7397512350    51196.42125 Sn  
    23   7.8995853920  20.5389220190   1.5799170780    51196.42125 Sn  
    24   4.7397512350  17.3790878610  11.0594195490    51196.42125 Sn  
    25   1.5799170780  14.2192537050  14.2192537050    51196.42125 Sn  
    26  11.0594195490  23.6987561750  23.6987561750    51196.42125 Sn  
    27   1.5799170780  20.5389220190  20.5389220190    51196.42125 Sn  
    28  11.0594195490  17.3790878610  17.3790878610    51196.42125 Sn  
    29   7.8995853920  14.2192537050  20.5389220190    51196.42125 Sn  
    30   4.7397512350  23.6987561750  17.3790878610    51196.42125 Sn  
    31   7.8995853920  20.5389220190  14.2192537050    51196.42125 Sn  
    32   4.7397512350  17.3790878610  23.6987561750    51196.42125 Sn  
    33  14.2192537050   1.5799170780   1.5799170780    51196.42125 Sn  
    34  23.6987561750  11.0594195490  11.0594195490    51196.42125 Sn  
    35  14.2192537050   7.8995853920   7.8995853920    51196.42125 Sn  
    36  23.6987561750   4.7397512350   4.7397512350    51196.42125 Sn  
    37  20.5389220190   1.5799170780   7.8995853920    51196.42125 Sn  
    38  17.3790878610  11.0594195490   4.7397512350    51196.42125 Sn  
    39  20.5389220190   7.8995853920   1.5799170780    51196.42125 Sn  
    40  17.3790878610   4.7397512350  11.0594195490    51196.42125 Sn  
    41  14.2192537050   1.5799170780  14.2192537050    51196.42125 Sn  
    42  23.6987561750  11.0594195490  23.6987561750    51196.42125 Sn  
    43  14.2192537050   7.8995853920  20.5389220190    51196.42125 Sn  
    44  23.6987561750   4.7397512350  17.3790878610    51196.42125 Sn  
    45  20.5389220190   1.5799170780  20.5389220190    51196.42125 Sn  
    46  17.3790878610  11.0594195490  17.3790878610    51196.42125 Sn  
    47  20.5389220190   7.8995853920  14.2192537050    51196.42125 Sn  
    48  17.3790878610   4.7397512350  23.6987561750    51196.42125 Sn  
    49  14.2192537050  14.2192537050   1.5799170780    51196.42125 Sn  
    50  23.6987561750  23.6987561750  11.0594195490    51196.42125 Sn  
    51  14.2192537050  20.5389220190   7.8995853920    51196.42125 Sn  
    52  23.6987561750  17.3790878610   4.7397512350    51196.42125 Sn  
    53  20.5389220190  14.2192537050   7.8995853920    51196.42125 Sn  
    54  17.3790878610  23.6987561750   4.7397512350    51196.42125 Sn  
    55  20.5389220190  20.5389220190   1.5799170780    51196.42125 Sn  
    56  17.3790878610  17.3790878610  11.0594195490    51196.42125 Sn  
    57  14.2192537050  14.2192537050  14.2192537050    51196.42125 Sn  
    58  23.6987561750  23.6987561750  23.6987561750    51196.42125 Sn  
    59  14.2192537050  20.5389220190  20.5389220190    51196.42125 Sn  
    60  23.6987561750  17.3790878610  17.3790878610    51196.42125 Sn  
    61  20.5389220190  14.2192537050  20.5389220190    51196.42125 Sn  
    62  17.3790878610  23.6987561750  17.3790878610    51196.42125 Sn  
    63  20.5389220190  20.5389220190  14.2192537050    51196.42125 Sn  
    64  17.3790878610  17.3790878610  23.6987561750    51196.42125 Sn  
 --- Vibrational modes ---
 Nmode=  192 Natom=   64
 n=     1 A   IR&R
     hbarW= -0.25109023E-06 Ha = -0.68325126E-05 eV; nu= -0.55107937E-01 cm^-1
     1   0.0299316797  0.1210984928 -0.0073425810
     2   0.0299994873  0.1211122966 -0.0072733320
     3   0.0299787271  0.1211628366 -0.0073150669
     4   0.0299910655  0.1211169898 -0.0073070676
     5   0.0299795461  0.1211530602 -0.0072811862
     6   0.0299543294  0.1211697191 -0.0072832609
     7   0.0299192759  0.1210982763 -0.0072266323
     8   0.0299850169  0.1211770276 -0.0073044597
     9   0.0299931569  0.1211511965 -0.0073144657
    10   0.0298787864  0.1211162847 -0.0072082192
    11   0.0299617940  0.1210891855 -0.0073087273
    12   0.0301038628  0.1211789314 -0.0071617945
    13   0.0299694213  0.1211166385 -0.0073046459
    14   0.0299903980  0.1210820882 -0.0072899647
    15   0.0300398613  0.1210949897 -0.0072415478
    16   0.0299704985  0.1211020479 -0.0072886625
    17   0.0299386941  0.1210995848 -0.0073269781
    18   0.0299723718  0.1211569602 -0.0072792575
    19   0.0299445925  0.1211153190 -0.0072885900
    20   0.0299702861  0.1211456669 -0.0072843812
    21   0.0299866927  0.1211214143 -0.0072689847
    22   0.0299457301  0.1211440290 -0.0072840743
    23   0.0299227944  0.1211006742 -0.0072947815
    24   0.0299771926  0.1211329895 -0.0072881582
    25   0.0300210953  0.1211095219 -0.0072736326
    26   0.0299419216  0.1211231600 -0.0072712902
    27   0.0299473145  0.1211579303 -0.0073114265
    28   0.0299714562  0.1210366901 -0.0073097579
    29   0.0299320697  0.1210956046 -0.0072751312
    30   0.0299740352  0.1211273634 -0.0073203431
    31   0.0299922534  0.1211135648 -0.0072801220
    32   0.0299108735  0.1211181951 -0.0073137938
    33   0.0299789499  0.1211566914 -0.0073369270
    34   0.0300302199  0.1211738644 -0.0073181906
    35   0.0299857543  0.1211213092 -0.0073061958
    36   0.0299883995  0.1211520045 -0.0073501187
    37   0.0299841804  0.1211714521 -0.0073360201
    38   0.0299964923  0.1210859194 -0.0073331497
    39   0.0299234952  0.1210856637 -0.0073834087
    40   0.0300157392  0.1211519195 -0.0073045190
    41   0.0299979736  0.1211692226 -0.0072894343
    42   0.0299470031  0.1210863121 -0.0073356041
    43   0.0300249500  0.1213723856 -0.0072894918
    44   0.0299616893  0.1211208176 -0.0073238323
    45   0.0299412305  0.1211487271 -0.0073336900
    46   0.0300920748  0.1211611263 -0.0074102574
    47   0.0300553526  0.1211383108 -0.0073480863
    48   0.0298852494  0.1211604669 -0.0074307951
    49   0.0299757074  0.1211034868 -0.0072811837
    50   0.0299575110  0.1211580435 -0.0073185395
    51   0.0299910661  0.1212060684 -0.0073307517
    52   0.0299655460  0.1211222362 -0.0073216457
    53   0.0299841991  0.1211071912 -0.0073324599
    54   0.0300099255  0.1211732343 -0.0073498011
    55   0.0299585120  0.1211154647 -0.0073153868
    56   0.0300130859  0.1211663593 -0.0073713555
    57   0.0300289274  0.1211364816 -0.0073489236
    58   0.0299043679  0.1211262057 -0.0073303547
    59   0.0299197166  0.1210924384 -0.0072827166
    60   0.0300062038  0.1211290737 -0.0073297486
    61   0.0299978586  0.1211276785 -0.0073193892
    62   0.0299551606  0.1211137098 -0.0072989097
    63   0.0299858287  0.1211319282 -0.0073121896
    64   0.0299697705  0.1210905042 -0.0073028672
 n=     2 A   IR&R
     hbarW= -0.21017557E-06 Ha = -0.57191681E-05 eV; nu= -0.46128206E-01 cm^-1
     1   0.1207992971 -0.0290887127  0.0134295058
     2   0.1208490698 -0.0290690969  0.0135471944
     3   0.1208313681 -0.0290484197  0.0134838076
     4   0.1208867356 -0.0291333437  0.0135016998
     5   0.1208207681 -0.0291292563  0.0134643909
     6   0.1208455234 -0.0290818766  0.0134748711
     7   0.1208815462 -0.0291137302  0.0135316710
     8   0.1208215457 -0.0290876923  0.0134342318
     9   0.1207747448 -0.0290363821  0.0134857252
    10   0.1208633237 -0.0291065316  0.0135170445
    11   0.1208245951 -0.0290524302  0.0134830864
    12   0.1208037633 -0.0290867000  0.0135228305
    13   0.1207987888 -0.0290875340  0.0135583676
    14   0.1208160056 -0.0290718187  0.0134662258
    15   0.1207955159 -0.0290955090  0.0134819639
    16   0.1208359617 -0.0290517109  0.0134965664
    17   0.1208369788 -0.0290719681  0.0134937296
    18   0.1207995081 -0.0291241889  0.0135170475
    19   0.1207750173 -0.0290430474  0.0135596332
    20   0.1208187185 -0.0291213626  0.0135317285
    21   0.1207983784 -0.0291085890  0.0135463654
    22   0.1207488859 -0.0290898482  0.0134747221
    23   0.1208117494 -0.0290867757  0.0135454316
    24   0.1208003153 -0.0290658874  0.0135223143
    25   0.1207751384 -0.0290741516  0.0135171437
    26   0.1207910210 -0.0290617121  0.0135748685
    27   0.1208139356 -0.0290809734  0.0134793720
    28   0.1208169103 -0.0291011318  0.0135750947
    29   0.1207817033 -0.0291182911  0.0135575890
    30   0.1207812022 -0.0290334356  0.0135004777
    31   0.1207939495 -0.0291014388  0.0135628793
    32   0.1208157333 -0.0290445954  0.0135137169
    33   0.1208983272 -0.0290815787  0.0134944012
    34   0.1207923999 -0.0291170993  0.0135342337
    35   0.1208141301 -0.0291075180  0.0135494005
    36   0.1208692950 -0.0290960505  0.0135043126
    37   0.1208228414 -0.0290229811  0.0135760799
    38   0.1208455778 -0.0291071110  0.0135957478
    39   0.1208604067 -0.0290649914  0.0135671584
    40   0.1208349987 -0.0290278155  0.0135866379
    41   0.1207983083 -0.0290925641  0.0135002990
    42   0.1208261812 -0.0290781176  0.0135382266
    43   0.1208553283 -0.0291155587  0.0135301274
    44   0.1207913862 -0.0291021396  0.0135706540
    45   0.1207656836 -0.0291067910  0.0135461738
    46   0.1208240407 -0.0290235352  0.0135904273
    47   0.1208228923 -0.0290558428  0.0136080653
    48   0.1208965226 -0.0290397317  0.0135542232
    49   0.1208578010 -0.0291246931  0.0135765915
    50   0.1207491144 -0.0290933617  0.0135687846
    51   0.1208244298 -0.0290971605  0.0135082765
    52   0.1208538148 -0.0290933224  0.0135448594
    53   0.1208177621 -0.0290652143  0.0135622566
    54   0.1208514850 -0.0290508642  0.0135750090
    55   0.1208195805 -0.0290932672  0.0135880339
    56   0.1208369671 -0.0290412604  0.0135577909
    57   0.1208265571 -0.0290581387  0.0135458015
    58   0.1207910869 -0.0291165299  0.0135028203
    59   0.1207564684 -0.0290938244  0.0136253905
    60   0.1207541339 -0.0290859302  0.0135443450
    61   0.1207820180 -0.0290293612  0.0136475794
    62   0.1207221503 -0.0290828717  0.0135838389
    63   0.1207572023 -0.0290320756  0.0136040222
    64   0.1207889148 -0.0290575805  0.0136349099
 n=     3 A   IR&R
     hbarW= -0.73532678E-07 Ha = -0.20009259E-05 eV; nu= -0.16138558E-01 cm^-1
     1  -0.0114223019  0.0102962403  0.1240694732
     2  -0.0114216760  0.0103058311  0.1240274209
     3  -0.0114121283  0.0103180002  0.1240413339
     4  -0.0114149525  0.0102989538  0.1240597280
     5  -0.0114255202  0.0103091384  0.1240605583
     6  -0.0114071431  0.0103107882  0.1240303945
     7  -0.0114021868  0.0102929982  0.1240378394
     8  -0.0114257032  0.0103173153  0.1240549238
     9  -0.0114262224  0.0103205914  0.1240542614
    10  -0.0113975436  0.0102895210  0.1240459652
    11  -0.0114240400  0.0102965394  0.1240672584
    12  -0.0114201447  0.0103133822  0.1240510670
    13  -0.0114170904  0.0103150300  0.1240450394
    14  -0.0114276649  0.0102908634  0.1240611036
    15  -0.0114134220  0.0103136515  0.1240454055
    16  -0.0114329056  0.0102926960  0.1240593091
    17  -0.0114219338  0.0103164978  0.1240388249
    18  -0.0114083602  0.0103216326  0.1240571525
    19  -0.0114224264  0.0103168861  0.1240618725
    20  -0.0114012341  0.0103132578  0.1240211758
    21  -0.0114081577  0.0103275215  0.1240281534
    22  -0.0114193076  0.0103046156  0.1240611181
    23  -0.0114314863  0.0103075756  0.1240443054
    24  -0.0114160507  0.0103133679  0.1240519768
    25  -0.0114078599  0.0103188234  0.1240657424
    26  -0.0114310512  0.0102986235  0.1240422332
    27  -0.0114356120  0.0103246227  0.1240558726
    28  -0.0114218363  0.0103043610  0.1240505931
    29  -0.0114084288  0.0102869101  0.1240514982
    30  -0.0114324860  0.0103205479  0.1240579262
