 ===== energy eigen values =====
 ik =    1 (  0.500000  0.500000  0.500000 )
     -0.85231356     -0.85210509     -0.85200436     -0.85199838     -0.85199708
     -0.85199226     -0.85194789     -0.85194682     -0.85194493     -0.85193710
     -0.85192973     -0.85192753     -0.85191428     -0.85190121     -0.85189761
     -0.85188919     -0.85188829     -0.85188536     -0.85185909     -0.85185459
     -0.85185179     -0.85183523     -0.85179529     -0.85176243     -0.85148798
     -0.85137888     -0.85135027     -0.85134115     -0.85132199     -0.85132191
     -0.85131451     -0.85131101     -0.85128916     -0.85127572     -0.85126852
     -0.85126371     -0.85126278     -0.85125763     -0.85125054     -0.85124316
     -0.85123603     -0.85122282     -0.85121685     -0.85120957     -0.85120770
     -0.85118256     -0.85118189     -0.85106720     -0.85080926     -0.85079254
     -0.85078132     -0.85076308     -0.85075215     -0.85074726     -0.85071960
     -0.85071520     -0.85070891     -0.85070608     -0.85068601     -0.85068541
     -0.85066529     -0.85065988     -0.85065456     -0.85049357     -0.84955079
     -0.84952954     -0.84951859     -0.84950334     -0.84949253     -0.84947698
     -0.84945115     -0.84944573     -0.84836368     -0.84833508     -0.84828932
     -0.84828047     -0.84827928     -0.84827741     -0.84826738     -0.84826504
     -0.84825053     -0.84824571     -0.84824404     -0.84823407     -0.84822997
     -0.84821969     -0.84821935     -0.84821931     -0.84819924     -0.84819866
     -0.84819072     -0.84818404     -0.84818180     -0.84817786     -0.84813387
     -0.84806035     -0.84695666     -0.84693383     -0.84688377     -0.84686747
     -0.84683851     -0.84683661     -0.84681599     -0.84681294     -0.84681134
     -0.84681002     -0.84679420     -0.84678870     -0.84676160     -0.84675385
     -0.84673181     -0.84671704     -0.84537810     -0.84537402     -0.84528947
     -0.84528841     -0.84527217     -0.84526531     -0.84525487     -0.84524816
     -0.84524310     -0.84522946     -0.84522669     -0.84522265     -0.84521793
     -0.84521665     -0.84521224     -0.84520784     -0.84519650     -0.84519218
     -0.84517880     -0.84517090     -0.84516120     -0.84515647     -0.84509552
     -0.84507794     -0.84449125     -0.84449046     -0.84448696     -0.84446596
     -0.84446262     -0.84445288     -0.84444095     -0.84443803     -0.84443584
     -0.84443379     -0.84441782     -0.84441345     -0.84441340     -0.84441296
     -0.84439883     -0.84439553     -0.84439129     -0.84438815     -0.84437529
     -0.84437425     -0.84436924     -0.84436116     -0.84434883     -0.84433673
     -0.84367327     -0.84366850     -0.84366126     -0.84365020     -0.84363816
     -0.84363596     -0.84362616     -0.84362356     -0.84362252     -0.84362200
     -0.84361497     -0.84361134     -0.84359496     -0.84359382     -0.84359313
     -0.84358356     -0.84358234     -0.84358222     -0.84357041     -0.84356979
     -0.84356250     -0.84353965     -0.84353754     -0.84351189     -0.84213775
     -0.84207672     -0.84207408     -0.84206614     -0.84205089     -0.84203914
     -0.84203058     -0.84202818     -0.84202104     -0.84201957     -0.84201488
     -0.84201125     -0.84200733     -0.84200531     -0.84200167     -0.84199694
     -0.84199471     -0.84198618     -0.84197788     -0.84196463     -0.84195004
     -0.84194996     -0.84194078     -0.84187466     -0.84078744     -0.84075680
     -0.84075571     -0.84075334     -0.84072165     -0.84071256     -0.84070201
     -0.84069784     -0.84069761     -0.84069382     -0.84068395     -0.84067377
     -0.84064653     -0.84064345     -0.84064315     -0.84063801     -0.84037972
     -0.84035902     -0.84035104     -0.84034089     -0.84033273     -0.84033269
     -0.84032182     -0.84032013     -0.84031541     -0.84030969     -0.84030866
     -0.84030725     -0.84028776     -0.84028669     -0.84028385     -0.84027750
     -0.84027185     -0.84026563     -0.84025997     -0.84025896     -0.84025127
     -0.84024550     -0.84022423     -0.84017359     -0.83949952     -0.83949534
     -0.83948931     -0.83948049     -0.83946872     -0.83946161     -0.83945423
     -0.83945406     -0.83793491     -0.83789799     -0.83788777     -0.83788735
     -0.83787899     -0.83785931     -0.83785824     -0.83784154     -0.83783236
     -0.83781963     -0.83781441     -0.83780251     -0.83779572     -0.83779187
     -0.83778612     -0.83778442     -0.83720453     -0.83717931     -0.83715901
     -0.83715403     -0.83715301     -0.83714844     -0.83714285     -0.83713748
     -0.83713217     -0.83712838     -0.83711364     -0.83710713     -0.83709482
     -0.83709096     -0.83707987     -0.83707524     -0.83707337     -0.83705732
     -0.83705614     -0.83705112     -0.83705015     -0.83704317     -0.83703302
     -0.83698079     -0.83656441     -0.83653582     -0.83652095     -0.83651599
     -0.83651413     -0.83649677     -0.83648334     -0.83648147     -0.83647224
     -0.83647083     -0.83646851     -0.83646436     -0.83644146     -0.83644088
     -0.83643977     -0.83643686     -0.83642167     -0.83642123     -0.83641386
     -0.83638484     -0.83638205     -0.83637130     -0.83636690     -0.83632511
     -0.40997558     -0.40972212     -0.40966233     -0.40964382     -0.40963102
     -0.40961416     -0.40955817     -0.40934325     -0.36509197     -0.36435409
     -0.36402593     -0.36399326     -0.36396161     -0.36395114     -0.36394739
     -0.36393377     -0.36393287     -0.36393277     -0.36392636     -0.36391667
     -0.36391568     -0.36390568     -0.36389973     -0.36389915     -0.36389842
     -0.36388618     -0.36388139     -0.36387182     -0.36384160     -0.36380868
     -0.36350258     -0.36278521     -0.28463568     -0.28417263     -0.28363043
     -0.28359628     -0.28357742     -0.28357263     -0.28356385     -0.28355183
     -0.28355131     -0.28354459     -0.28354370     -0.28353964     -0.28352335
     -0.28351925     -0.28351718     -0.28351196     -0.28351193     -0.28349945
     -0.28349021     -0.28348705     -0.28346711     -0.28343390     -0.28291647
     -0.28239791     -0.20745730     -0.20745185     -0.20724560     -0.20722014
     -0.20721146     -0.20718713     -0.20699090     -0.20696684     -0.15636384
     -0.15622474     -0.15601876     -0.15587542     -0.15586741     -0.15585317
     -0.15584663     -0.15584084     -0.15583831     -0.15582065     -0.15581774
     -0.15581290     -0.15579906     -0.15579454     -0.15579132     -0.15577395
     -0.15576635     -0.15576603     -0.15575803     -0.15574492     -0.15573812
     -0.15559798     -0.15540301     -0.15524483     -0.12292995     -0.12255853
     -0.12236009     -0.12234390     -0.12233544     -0.12228994     -0.12228516
     -0.12226704     -0.12226542     -0.12225983     -0.12224911     -0.12224766
     -0.12223873     -0.12223690     -0.12222813     -0.12222007     -0.12221928
     -0.12220308     -0.12219864     -0.12215604     -0.12214645     -0.12212669
     -0.12190069     -0.12155990     -0.08208675     -0.08143283     -0.08139013
     -0.08136828     -0.08135021     -0.08131870     -0.08131756     -0.08131243
     -0.08130470     -0.08130007     -0.08129319     -0.08126791     -0.08125249
     -0.08123231     -0.08117002     -0.08049757     -0.05473683     -0.05463085
     -0.05454750     -0.05451973     -0.05447355     -0.05444628     -0.05437264
     -0.05426336     -0.01505432     -0.01495009     -0.01437999     -0.01435312
     -0.01433910     -0.01432496     -0.01432094     -0.01431163     -0.01430569
     -0.01430516     -0.01428964     -0.01428833     -0.01428198     -0.01428071
     -0.01426521     -0.01426477     -0.01425813     -0.01424922     -0.01424834
     -0.01423116     -0.01421539     -0.01419084     -0.01364243     -0.01354663
      0.04894828      0.04910630      0.04914055      0.04917595      0.04927745
      0.04940403
 ===== occupations =====
 ik =    1 (  0.500000  0.500000  0.500000 )
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
