  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
      6  -0.86560      0.0000000000    -21.524926      0.0000000000        0.0000000000
     16  -0.86460      0.0000000059    -21.497714      0.0000000002        0.0000000000
     26  -0.86360      0.0000048391    -21.470503      0.0000001778        0.0000000010
     36  -0.86260      0.0015150944    -21.443291      0.0000556787        0.0000003609
     46  -0.86160      0.1842608861    -21.416080      0.0067714602        0.0000505318
     56  -0.86060      8.9414459927    -21.388869      0.3285919599        0.0029124023
     66  -0.85960    180.7888655210    -21.361657      6.6438658467        0.0726856564
     76  -0.85860   1635.8550147936    -21.334446     60.1165410909        0.8479933424
     86  -0.85760   7409.1767307713    -21.307234    272.2821236341        5.1601209586
     96  -0.85660  19152.8357626413    -21.280023    703.8534758402       18.6419466037
    106  -0.85560  30667.1400779363    -21.252812   1126.9962007420       44.6205615506
    116  -0.85460  32801.4727968055    -21.225600   1205.4314529101       77.3104867020
    126  -0.85360  29298.1828739383    -21.198389   1076.6879697181      108.2414726760
    136  -0.85260  27362.5565004200    -21.171177   1005.5550383959      136.2487113172
    146  -0.85160  28384.0299880781    -21.143966   1043.0934830251      163.9157348786
    156  -0.85060  31827.0931600508    -21.116755   1169.6236747504      194.0862840693
    166  -0.84960  35140.7795221053    -21.089543   1291.3993581364      227.8453296746
    176  -0.84860  36762.8209995426    -21.062332   1351.0082612774      264.0270332734
    186  -0.84760  37144.8681103311    -21.035120   1365.0482285280      301.0341071166
    196  -0.84660  38117.0371612312    -21.007909   1400.7747691855      338.6043785231
    206  -0.84560  39884.8890579033    -20.980698   1465.7421044493      377.7081864938
    216  -0.84460  39827.4605220040    -20.953486   1463.6316454495      417.8465902788
    226  -0.84360  36296.2483814560    -20.926275   1333.8620400577      455.9262057181
    236  -0.84260  33680.8148542395    -20.899063   1237.7466657197      490.4528770993
    246  -0.84160  35264.0078395195    -20.871852   1295.9279136260      524.7556308671
    256  -0.84060  36035.6788608183    -20.844641   1324.2862902798      560.8605090250
    266  -0.83960  29051.3215201761    -20.817429   1067.6159855979      593.7852903938
    276  -0.83860  16553.0481870902    -20.790218    608.3130794114      616.0780212022
    286  -0.83760   6145.6680673797    -20.763006    225.8490535915      626.5065145296
    296  -0.83660   1246.3278834618    -20.735795     45.8016882556      629.5144634583
    306  -0.83560    116.1862224245    -20.708584      4.2697633662      629.9676891952
    316  -0.83460      4.5137372158    -20.681372      0.1658767228      629.9990630786
    326  -0.83360      0.0696577858    -20.654161      0.0025598755      629.9999887992
    336  -0.83260      0.0004165193    -20.626949      0.0000153068      629.9999999465
    346  -0.83160      0.0000009511    -20.599738      0.0000000350      629.9999999998
    356  -0.83060      0.0000000008    -20.572527      0.0000000000      629.9999999999
    366  -0.82960      0.0000000000    -20.545315      0.0000000000      629.9999999999
    376  -0.82860      0.0000000000    -20.518104      0.0000000000      629.9999999999
    386  -0.82760      0.0000000000    -20.490893      0.0000000000      629.9999999999
    396  -0.82660      0.0000000000    -20.463681      0.0000000000      629.9999999999
    406  -0.82560      0.0000000000    -20.436470      0.0000000000      629.9999999999
    416  -0.82460      0.0000000000    -20.409258      0.0000000000      629.9999999999
    426  -0.82360      0.0000000000    -20.382047      0.0000000000      629.9999999999
    436  -0.82260      0.0000000000    -20.354836      0.0000000000      629.9999999999
    446  -0.82160      0.0000000000    -20.327624      0.0000000000      629.9999999999
    456  -0.82060      0.0000000000    -20.300413      0.0000000000      629.9999999999
    466  -0.81960      0.0000000000    -20.273201      0.0000000000      629.9999999999
    476  -0.81860      0.0000000000    -20.245990      0.0000000000      629.9999999999
    486  -0.81760      0.0000000000    -20.218779      0.0000000000      629.9999999999
    496  -0.81660      0.0000000000    -20.191567      0.0000000000      629.9999999999
    506  -0.81560      0.0000000000    -20.164356      0.0000000000      629.9999999999
    516  -0.81460      0.0000000000    -20.137144      0.0000000000      629.9999999999
    526  -0.81360      0.0000000000    -20.109933      0.0000000000      629.9999999999
    536  -0.81260      0.0000000000    -20.082722      0.0000000000      629.9999999999
    546  -0.81160      0.0000000000    -20.055510      0.0000000000      629.9999999999
    556  -0.81060      0.0000000000    -20.028299      0.0000000000      629.9999999999
    566  -0.80960      0.0000000000    -20.001087      0.0000000000      629.9999999999
    576  -0.80860      0.0000000000    -19.973876      0.0000000000      629.9999999999
    586  -0.80760      0.0000000000    -19.946665      0.0000000000      629.9999999999
    596  -0.80660      0.0000000000    -19.919453      0.0000000000      629.9999999999
    606  -0.80560      0.0000000000    -19.892242      0.0000000000      629.9999999999
    616  -0.80460      0.0000000000    -19.865030      0.0000000000      629.9999999999
    626  -0.80360      0.0000000000    -19.837819      0.0000000000      629.9999999999
    636  -0.80260      0.0000000000    -19.810608      0.0000000000      629.9999999999
    646  -0.80160      0.0000000000    -19.783396      0.0000000000      629.9999999999
    656  -0.80060      0.0000000000    -19.756185      0.0000000000      629.9999999999
    666  -0.79960      0.0000000000    -19.728973      0.0000000000      629.9999999999
    676  -0.79860      0.0000000000    -19.701762      0.0000000000      629.9999999999
    686  -0.79760      0.0000000000    -19.674551      0.0000000000      629.9999999999
    696  -0.79660      0.0000000000    -19.647339      0.0000000000      629.9999999999
    706  -0.79560      0.0000000000    -19.620128      0.0000000000      629.9999999999
    716  -0.79460      0.0000000000    -19.592916      0.0000000000      629.9999999999
    726  -0.79360      0.0000000000    -19.565705      0.0000000000      629.9999999999
    736  -0.79260      0.0000000000    -19.538494      0.0000000000      629.9999999999
    746  -0.79160      0.0000000000    -19.511282      0.0000000000      629.9999999999
    756  -0.79060      0.0000000000    -19.484071      0.0000000000      629.9999999999
    766  -0.78960      0.0000000000    -19.456859      0.0000000000      629.9999999999
    776  -0.78860      0.0000000000    -19.429648      0.0000000000      629.9999999999
    786  -0.78760      0.0000000000    -19.402437      0.0000000000      629.9999999999
    796  -0.78660      0.0000000000    -19.375225      0.0000000000      629.9999999999
    806  -0.78560      0.0000000000    -19.348014      0.0000000000      629.9999999999
    816  -0.78460      0.0000000000    -19.320802      0.0000000000      629.9999999999
    826  -0.78360      0.0000000000    -19.293591      0.0000000000      629.9999999999
    836  -0.78260      0.0000000000    -19.266380      0.0000000000      629.9999999999
    846  -0.78160      0.0000000000    -19.239168      0.0000000000      629.9999999999
    856  -0.78060      0.0000000000    -19.211957      0.0000000000      629.9999999999
    866  -0.77960      0.0000000000    -19.184745      0.0000000000      629.9999999999
    876  -0.77860      0.0000000000    -19.157534      0.0000000000      629.9999999999
    886  -0.77760      0.0000000000    -19.130323      0.0000000000      629.9999999999
    896  -0.77660      0.0000000000    -19.103111      0.0000000000      629.9999999999
    906  -0.77560      0.0000000000    -19.075900      0.0000000000      629.9999999999
    916  -0.77460      0.0000000000    -19.048689      0.0000000000      629.9999999999
    926  -0.77360      0.0000000000    -19.021477      0.0000000000      629.9999999999
    936  -0.77260      0.0000000000    -18.994266      0.0000000000      629.9999999999
    946  -0.77160      0.0000000000    -18.967054      0.0000000000      629.9999999999
    956  -0.77060      0.0000000000    -18.939843      0.0000000000      629.9999999999
    966  -0.76960      0.0000000000    -18.912632      0.0000000000      629.9999999999
    976  -0.76860      0.0000000000    -18.885420      0.0000000000      629.9999999999
    986  -0.76760      0.0000000000    -18.858209      0.0000000000      629.9999999999
    996  -0.76660      0.0000000000    -18.830997      0.0000000000      629.9999999999
   1006  -0.76560      0.0000000000    -18.803786      0.0000000000      629.9999999999
   1016  -0.76460      0.0000000000    -18.776575      0.0000000000      629.9999999999
   1026  -0.76360      0.0000000000    -18.749363      0.0000000000      629.9999999999
   1036  -0.76260      0.0000000000    -18.722152      0.0000000000      629.9999999999
   1046  -0.76160      0.0000000000    -18.694940      0.0000000000      629.9999999999
   1056  -0.76060      0.0000000000    -18.667729      0.0000000000      629.9999999999
   1066  -0.75960      0.0000000000    -18.640518      0.0000000000      629.9999999999
   1076  -0.75860      0.0000000000    -18.613306      0.0000000000      629.9999999999
   1086  -0.75760      0.0000000000    -18.586095      0.0000000000      629.9999999999
   1096  -0.75660      0.0000000000    -18.558883      0.0000000000      629.9999999999
   1106  -0.75560      0.0000000000    -18.531672      0.0000000000      629.9999999999
   1116  -0.75460      0.0000000000    -18.504461      0.0000000000      629.9999999999
   1126  -0.75360      0.0000000000    -18.477249      0.0000000000      629.9999999999
   1136  -0.75260      0.0000000000    -18.450038      0.0000000000      629.9999999999
   1146  -0.75160      0.0000000000    -18.422826      0.0000000000      629.9999999999
   1156  -0.75060      0.0000000000    -18.395615      0.0000000000      629.9999999999
   1166  -0.74960      0.0000000000    -18.368404      0.0000000000      629.9999999999
   1176  -0.74860      0.0000000000    -18.341192      0.0000000000      629.9999999999
   1186  -0.74760      0.0000000000    -18.313981      0.0000000000      629.9999999999
   1196  -0.74660      0.0000000000    -18.286769      0.0000000000      629.9999999999
   1206  -0.74560      0.0000000000    -18.259558      0.0000000000      629.9999999999
   1216  -0.74460      0.0000000000    -18.232347      0.0000000000      629.9999999999
   1226  -0.74360      0.0000000000    -18.205135      0.0000000000      629.9999999999
   1236  -0.74260      0.0000000000    -18.177924      0.0000000000      629.9999999999
   1246  -0.74160      0.0000000000    -18.150712      0.0000000000      629.9999999999
   1256  -0.74060      0.0000000000    -18.123501      0.0000000000      629.9999999999
   1266  -0.73960      0.0000000000    -18.096290      0.0000000000      629.9999999999
   1276  -0.73860      0.0000000000    -18.069078      0.0000000000      629.9999999999
   1286  -0.73760      0.0000000000    -18.041867      0.0000000000      629.9999999999
   1296  -0.73660      0.0000000000    -18.014655      0.0000000000      629.9999999999
   1306  -0.73560      0.0000000000    -17.987444      0.0000000000      629.9999999999
   1316  -0.73460      0.0000000000    -17.960233      0.0000000000      629.9999999999
   1326  -0.73360      0.0000000000    -17.933021      0.0000000000      629.9999999999
   1336  -0.73260      0.0000000000    -17.905810      0.0000000000      629.9999999999
   1346  -0.73160      0.0000000000    -17.878598      0.0000000000      629.9999999999
   1356  -0.73060      0.0000000000    -17.851387      0.0000000000      629.9999999999
   1366  -0.72960      0.0000000000    -17.824176      0.0000000000      629.9999999999
   1376  -0.72860      0.0000000000    -17.796964      0.0000000000      629.9999999999
   1386  -0.72760      0.0000000000    -17.769753      0.0000000000      629.9999999999
   1396  -0.72660      0.0000000000    -17.742541      0.0000000000      629.9999999999
   1406  -0.72560      0.0000000000    -17.715330      0.0000000000      629.9999999999
   1416  -0.72460      0.0000000000    -17.688119      0.0000000000      629.9999999999
   1426  -0.72360      0.0000000000    -17.660907      0.0000000000      629.9999999999
   1436  -0.72260      0.0000000000    -17.633696      0.0000000000      629.9999999999
   1446  -0.72160      0.0000000000    -17.606485      0.0000000000      629.9999999999
   1456  -0.72060      0.0000000000    -17.579273      0.0000000000      629.9999999999
   1466  -0.71960      0.0000000000    -17.552062      0.0000000000      629.9999999999
   1476  -0.71860      0.0000000000    -17.524850      0.0000000000      629.9999999999
   1486  -0.71760      0.0000000000    -17.497639      0.0000000000      629.9999999999
   1496  -0.71660      0.0000000000    -17.470428      0.0000000000      629.9999999999
   1506  -0.71560      0.0000000000    -17.443216      0.0000000000      629.9999999999
   1516  -0.71460      0.0000000000    -17.416005      0.0000000000      629.9999999999
   1526  -0.71360      0.0000000000    -17.388793      0.0000000000      629.9999999999
   1536  -0.71260      0.0000000000    -17.361582      0.0000000000      629.9999999999
   1546  -0.71160      0.0000000000    -17.334371      0.0000000000      629.9999999999
   1556  -0.71060      0.0000000000    -17.307159      0.0000000000      629.9999999999
   1566  -0.70960      0.0000000000    -17.279948      0.0000000000      629.9999999999
   1576  -0.70860      0.0000000000    -17.252736      0.0000000000      629.9999999999
   1586  -0.70760      0.0000000000    -17.225525      0.0000000000      629.9999999999
   1596  -0.70660      0.0000000000    -17.198314      0.0000000000      629.9999999999
   1606  -0.70560      0.0000000000    -17.171102      0.0000000000      629.9999999999
   1616  -0.70460      0.0000000000    -17.143891      0.0000000000      629.9999999999
   1626  -0.70360      0.0000000000    -17.116679      0.0000000000      629.9999999999
   1636  -0.70260      0.0000000000    -17.089468      0.0000000000      629.9999999999
   1646  -0.70160      0.0000000000    -17.062257      0.0000000000      629.9999999999
   1656  -0.70060      0.0000000000    -17.035045      0.0000000000      629.9999999999
   1666  -0.69960      0.0000000000    -17.007834      0.0000000000      629.9999999999
   1676  -0.69860      0.0000000000    -16.980622      0.0000000000      629.9999999999
   1686  -0.69760      0.0000000000    -16.953411      0.0000000000      629.9999999999
   1696  -0.69660      0.0000000000    -16.926200      0.0000000000      629.9999999999
   1706  -0.69560      0.0000000000    -16.898988      0.0000000000      629.9999999999
   1716  -0.69460      0.0000000000    -16.871777      0.0000000000      629.9999999999
   1726  -0.69360      0.0000000000    -16.844565      0.0000000000      629.9999999999
   1736  -0.69260      0.0000000000    -16.817354      0.0000000000      629.9999999999
   1746  -0.69160      0.0000000000    -16.790143      0.0000000000      629.9999999999
   1756  -0.69060      0.0000000000    -16.762931      0.0000000000      629.9999999999
   1766  -0.68960      0.0000000000    -16.735720      0.0000000000      629.9999999999
   1776  -0.68860      0.0000000000    -16.708508      0.0000000000      629.9999999999
   1786  -0.68760      0.0000000000    -16.681297      0.0000000000      629.9999999999
   1796  -0.68660      0.0000000000    -16.654086      0.0000000000      629.9999999999
   1806  -0.68560      0.0000000000    -16.626874      0.0000000000      629.9999999999
   1816  -0.68460      0.0000000000    -16.599663      0.0000000000      629.9999999999
   1826  -0.68360      0.0000000000    -16.572451      0.0000000000      629.9999999999
