 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.85711036     -0.85711035     -0.85710483     -0.85666487     -0.85666486
     -0.85649633     -0.85645172     -0.85645170     -0.85625561     -0.85621603
     -0.85621602     -0.85595693     -0.85583627     -0.85583626     -0.85577670
     -0.85570560     -0.85564630     -0.85564629     -0.85555008     -0.85553292
     -0.85553289     -0.85543425     -0.85539667     -0.85539534     -0.85539534
     -0.85533351     -0.85533349     -0.85520385     -0.85520384     -0.85514882
     -0.85512184     -0.85512182     -0.85510207     -0.85505469     -0.85505467
     -0.85500666     -0.85495231     -0.85495230     -0.85476264     -0.85476263
     -0.85472759     -0.85471911     -0.85471744     -0.85471742     -0.85415784
     -0.85407442     -0.85407441     -0.85401348     -0.85397571     -0.85391688
     -0.85391684     -0.85376826     -0.85376824     -0.85371964     -0.85367582
     -0.85349374     -0.85349373     -0.85329434     -0.85329429     -0.85323952
     -0.85321469     -0.85321461     -0.85313417     -0.85300002     -0.85293754
     -0.85293749     -0.85272166     -0.85254421     -0.85254417     -0.85249761
     -0.85249759     -0.85244457     -0.85222932     -0.85222931     -0.85218359
     -0.85197154     -0.85197152     -0.85182356     -0.85176499     -0.85176497
     -0.85153132     -0.85153130     -0.85152732     -0.85142810     -0.85142809
     -0.85140194     -0.85109117     -0.85103787     -0.85101580     -0.85101575
     -0.85091521     -0.85091519     -0.85081613     -0.85081612     -0.85054669
     -0.85054668     -0.85053698     -0.85046828     -0.85042536     -0.85042532
     -0.85027154     -0.85027151     -0.85025545     -0.85018249     -0.85012712
     -0.85012710     -0.85000211     -0.84996793     -0.84996790     -0.84985812
     -0.84964049     -0.84963790     -0.84963789     -0.84946902     -0.84943084
     -0.84943082     -0.84937949     -0.84937948     -0.84936544     -0.84929346
     -0.84929345     -0.84910986     -0.84909847     -0.84909846     -0.84902691
     -0.84894274     -0.84894272     -0.84890077     -0.84873919     -0.84873918
     -0.84866924     -0.84866922     -0.84852653     -0.84839686     -0.84839683
     -0.84837050     -0.84835444     -0.84822891     -0.84822889     -0.84821510
     -0.84812557     -0.84812557     -0.84801703     -0.84799715     -0.84799714
     -0.84793076     -0.84793074     -0.84791337     -0.84773918     -0.84762588
     -0.84762587     -0.84750084     -0.84750082     -0.84746559     -0.84737590
     -0.84728124     -0.84728121     -0.84721183     -0.84720541     -0.84720540
     -0.84697388     -0.84690786     -0.84690785     -0.84686628     -0.84679098
     -0.84675366     -0.84675364     -0.84662077     -0.84659268     -0.84659266
     -0.84649603     -0.84649603     -0.84644118     -0.84624869     -0.84624867
     -0.84624157     -0.84613029     -0.84613028     -0.84604206     -0.84604205
     -0.84602632     -0.84597802     -0.84588516     -0.84588514     -0.84578675
     -0.84578674     -0.84573747     -0.84569294     -0.84564982     -0.84564982
     -0.84545053     -0.84535388     -0.84532487     -0.84532486     -0.84524503
     -0.84524501     -0.84518965     -0.84507468     -0.84507467     -0.84503913
     -0.84503601     -0.84494630     -0.84494629     -0.84487325     -0.84487324
     -0.84476666     -0.84471365     -0.84471364     -0.84463101     -0.84452556
     -0.84452554     -0.84445617     -0.84442718     -0.84442717     -0.84431708
     -0.84426848     -0.84426848     -0.84424565     -0.84419105     -0.84419104
     -0.84406670     -0.84406668     -0.84403103     -0.84399595     -0.84399593
     -0.84387502     -0.84377379     -0.84377377     -0.84371958     -0.84371957
     -0.84370275     -0.84352098     -0.84342399     -0.84337697     -0.84337696
     -0.84320193     -0.84318161     -0.84318160     -0.84293024     -0.84290983
     -0.84290982     -0.84273538     -0.84270814     -0.84270813     -0.84265116
     -0.84258401     -0.84258399     -0.84241792     -0.84241792     -0.84240333
     -0.84214798     -0.84214795     -0.84208294     -0.84188762     -0.84188761
     -0.84187151     -0.84186158     -0.84178669     -0.84178668     -0.84171375
     -0.84171373     -0.84161327     -0.84160334     -0.84160334     -0.84139490
     -0.84134010     -0.84134009     -0.84122183     -0.84122181     -0.84117049
     -0.84112649     -0.84112649     -0.84110364     -0.84099914     -0.84066206
     -0.84066204     -0.84064536     -0.84060641     -0.84059869     -0.84059867
     -0.84047412     -0.84045120     -0.84045119     -0.84041578     -0.84040874
     -0.84040873     -0.84037895     -0.84034297     -0.84034296     -0.84020618
     -0.84020618     -0.84008023     -0.84008021     -0.84003918     -0.84003917
     -0.84002230     -0.83988263     -0.83987461     -0.83983335     -0.83983334
     -0.83970145     -0.83970142     -0.83957718     -0.83940720     -0.83934917
     -0.83934913     -0.83920133     -0.83876223     -0.83875010     -0.83875001
     -0.83857060     -0.83857054     -0.83853419     -0.83851747     -0.83851740
     -0.42631344     -0.41367087     -0.41367083     -0.41157970     -0.40153073
     -0.40153068     -0.39871409     -0.39039517     -0.38791031     -0.38791027
     -0.38586221     -0.37886562     -0.37886560     -0.37882550     -0.37823296
     -0.37823282     -0.37793774     -0.37474213     -0.37474200     -0.36763831
     -0.36295351     -0.36295347     -0.35603884     -0.35135374     -0.35120244
     -0.35120240     -0.34898279     -0.34896184     -0.34896178     -0.34681460
     -0.34681448     -0.32493666     -0.30613454     -0.30613453     -0.30597046
     -0.30588123     -0.30557328     -0.30557318     -0.30239868     -0.30239862
     -0.29352177     -0.29114627     -0.29114611     -0.28460192     -0.28159511
     -0.28159496     -0.27750965     -0.27070532     -0.27070524     -0.27062415
     -0.26847993     -0.26847983     -0.26039800     -0.25563453     -0.25251285
     -0.25251273     -0.23653767     -0.23238427     -0.23238417     -0.20735557
     -0.19892131     -0.19892122     -0.16935777     -0.16859642     -0.16859635
     -0.16768223     -0.16750726     -0.16750723     -0.16598144     -0.16530733
     -0.16530722     -0.15810370     -0.15413888     -0.15383164     -0.15383161
     -0.15353540     -0.15353536     -0.15317753     -0.15136226     -0.15023558
     -0.15023548     -0.14140356     -0.14111208     -0.14111207     -0.14016189
     -0.14016179     -0.13937398     -0.13792598     -0.13642950     -0.13611270
     -0.13611257     -0.13437619     -0.13437614     -0.13196462     -0.13196451
     -0.13192123     -0.12746872     -0.12746864     -0.12438330     -0.12407310
     -0.12148637     -0.12148635     -0.11654746     -0.11627696     -0.11627689
     -0.11587133     -0.11570314     -0.11570296     -0.11212116     -0.11212105
     -0.10851073     -0.10770744     -0.10384740     -0.10384727     -0.10061357
     -0.10061338     -0.09812057     -0.09621797     -0.09621791     -0.09172469
     -0.08982795     -0.08982788     -0.08562680     -0.07669203     -0.07457399
     -0.07457388     -0.06227153     -0.05571460     -0.05571446     -0.04582381
     -0.03068111     -0.03068108     -0.02771718     -0.02739740     -0.02739725
     -0.02521388     -0.02516746     -0.02516734     -0.02180539     -0.01678487
     -0.01663379     -0.01663374     -0.01436384     -0.01436370     -0.01228007
     -0.01003660     -0.01003640     -0.00102088      0.00006845      0.00007260
      0.00007267      0.00056730      0.00061858      0.00061859      0.00316310
      0.00316318      0.00447211      0.00647356      0.00665493      0.00665503
      0.00872212      0.00874276      0.01109541      0.01116020
 ===== energy eigen values =====
 ik =    2 ( -0.250000 -0.250000  0.250000 )
     -0.85711036     -0.85711035     -0.85710483     -0.85666487     -0.85666486
     -0.85649633     -0.85645172     -0.85645170     -0.85625561     -0.85621603
     -0.85621603     -0.85595693     -0.85583627     -0.85583626     -0.85577670
     -0.85570560     -0.85564630     -0.85564629     -0.85555008     -0.85553292
     -0.85553288     -0.85543424     -0.85539668     -0.85539534     -0.85539533
     -0.85533350     -0.85533349     -0.85520386     -0.85520385     -0.85514882
     -0.85512184     -0.85512182     -0.85510208     -0.85505469     -0.85505467
     -0.85500665     -0.85495231     -0.85495230     -0.85476264     -0.85476263
     -0.85472759     -0.85471911     -0.85471744     -0.85471742     -0.85415783
     -0.85407442     -0.85407441     -0.85401348     -0.85397571     -0.85391689
     -0.85391684     -0.85376826     -0.85376824     -0.85371963     -0.85367582
     -0.85349374     -0.85349373     -0.85329432     -0.85329429     -0.85323952
     -0.85321470     -0.85321460     -0.85313419     -0.85300002     -0.85293755
     -0.85293748     -0.85272166     -0.85254420     -0.85254417     -0.85249761
     -0.85249759     -0.85244457     -0.85222933     -0.85222931     -0.85218359
     -0.85197154     -0.85197152     -0.85182355     -0.85176499     -0.85176497
     -0.85153132     -0.85153130     -0.85152732     -0.85142810     -0.85142809
     -0.85140194     -0.85109117     -0.85103785     -0.85101581     -0.85101575
     -0.85091522     -0.85091519     -0.85081613     -0.85081612     -0.85054670
